id,startDate,endDate,carId,totalPrice,userUID
1,2023-05-27,2023-06-04,34,3400,user30
2,2024-04-21,2024-04-28,100,6510,user87
3,2023-02-07,2023-02-08,53,309,user94
4,2023-12-07,2023-12-12,56,3340,user79
5,2024-01-14,2024-01-19,20,4705,user71
6,2023-06-17,2023-06-20,7,2310,user55
7,2024-02-05,2024-02-10,78,2415,user22
8,2024-07-08,2024-07-17,53,2781,user36
9,2024-05-20,2024-05-21,55,508,user37
10,2023-11-16,2023-11-23,70,3829,user84
11,2023-12-29,2024-01-04,79,5382,user18
12,2024-04-27,2024-05-06,98,6696,user10
13,2024-05-27,2024-05-31,94,1676,user26
14,2023-12-31,2024-01-02,78,966,user90
15,2023-08-04,2023-08-14,64,5260,user44
16,2023-08-07,2023-08-17,2,3720,user88
17,2023-09-02,2023-09-06,80,1524,user36
18,2024-02-28,2024-03-07,34,3400,user65
19,2024-01-10,2024-01-20,54,9120,user8
20,2024-08-08,2024-08-10,18,1790,user35
21,2024-08-19,2024-08-21,76,1868,user68
22,2023-01-31,2023-02-01,44,818,user16
23,2023-05-07,2023-05-08,19,986,user38
24,2023-08-26,2023-08-31,59,3870,user56
25,2023-06-05,2023-06-14,64,4734,user1
26,2023-07-22,2023-07-29,3,6706,user34
27,2023-11-29,2023-12-06,88,2443,user67
28,2023-04-17,2023-04-24,73,6097,user27
29,2024-01-27,2024-02-06,81,8340,user73
30,2023-09-24,2023-10-01,59,5418,user91
31,2023-04-05,2023-04-09,15,3056,user54
32,2023-03-02,2023-03-09,14,5887,user20
33,2023-08-29,2023-09-06,7,6160,user43
34,2024-02-29,2024-03-02,1,1740,user43
35,2023-05-25,2023-05-30,30,1920,user13
36,2023-11-21,2023-11-30,64,4734,user58
37,2023-08-23,2023-08-26,74,2625,user97
38,2024-04-29,2024-05-03,44,3272,user30
39,2024-01-17,2024-01-24,11,2296,user76
40,2024-05-30,2024-06-08,41,5814,user29
41,2023-03-01,2023-03-03,67,1964,user13
42,2023-03-15,2023-03-24,100,8370,user16
43,2024-07-18,2024-07-20,89,1050,user84
44,2023-01-18,2023-01-24,82,5094,user99
45,2024-03-03,2024-03-10,16,4858,user88
46,2023-10-28,2023-10-30,43,1500,user37
47,2024-05-14,2024-05-22,82,6792,user77
48,2024-02-19,2024-02-28,82,7641,user57
49,2024-03-01,2024-03-08,41,4522,user38
50,2023-12-07,2023-12-09,11,656,user53
51,2023-09-06,2023-09-10,42,2528,user75
52,2023-11-25,2023-12-03,77,5416,user72
53,2023-09-02,2023-09-09,73,6097,user70
54,2023-01-13,2023-01-23,76,9340,user76
55,2024-08-02,2024-08-07,28,2640,user97
56,2023-11-29,2023-12-02,99,2286,user78
57,2023-08-17,2023-08-25,15,6112,user83
58,2023-01-31,2023-02-07,99,5334,user40
59,2023-12-15,2023-12-22,12,6909,user92
60,2023-03-23,2023-03-27,80,1524,user42
61,2024-08-19,2024-08-28,58,3330,user34
62,2024-01-31,2024-02-07,45,6657,user24
63,2023-10-10,2023-10-14,89,2100,user37
64,2023-09-02,2023-09-04,92,1366,user1
65,2024-03-16,2024-03-23,2,2604,user19
66,2023-02-04,2023-02-05,73,871,user34
67,2024-04-15,2024-04-20,47,3570,user4
68,2023-01-14,2023-01-24,82,8490,user75
69,2023-05-17,2023-05-27,70,5470,user11
70,2023-05-02,2023-05-05,20,2823,user4
71,2023-02-05,2023-02-06,31,784,user46
72,2023-11-13,2023-11-23,52,4840,user66
73,2023-03-19,2023-03-29,82,8490,user35
74,2023-09-19,2023-09-23,90,3132,user11
75,2023-11-04,2023-11-12,37,7792,user46
76,2023-01-20,2023-01-22,39,1030,user78
77,2024-04-24,2024-04-26,91,1234,user13
78,2023-11-17,2023-11-22,65,1950,user11
79,2023-10-03,2023-10-13,44,8180,user55
80,2023-08-18,2023-08-24,11,1968,user93
81,2023-11-24,2023-11-28,60,3240,user9
82,2023-08-04,2023-08-05,10,954,user34
83,2023-07-05,2023-07-07,72,1808,user95
84,2024-06-11,2024-06-15,17,1508,user95
85,2024-05-30,2024-06-02,76,2802,user73
86,2023-05-23,2023-05-29,32,4110,user30
87,2023-07-18,2023-07-21,66,2892,user79
88,2023-02-21,2023-02-27,23,5478,user87
89,2023-12-02,2023-12-05,40,1746,user25
90,2024-06-04,2024-06-09,94,2095,user13
91,2023-02-04,2023-02-08,45,3804,user20
92,2023-07-05,2023-07-13,90,6264,user94
93,2024-05-16,2024-05-23,95,2527,user81
94,2024-06-05,2024-06-11,63,1944,user86
95,2023-04-03,2023-04-04,67,982,user73
96,2023-03-04,2023-03-09,58,1850,user92
97,2023-08-15,2023-08-24,7,6930,user99
98,2023-10-10,2023-10-14,88,1396,user82
99,2024-01-25,2024-02-01,95,2527,user71
100,2023-01-23,2023-01-30,9,4179,user64
101,2024-01-29,2024-02-01,53,927,user41
102,2023-12-15,2023-12-24,37,8766,user21
103,2024-08-23,2024-08-30,96,5152,user1
104,2023-11-22,2023-11-25,69,936,user27
105,2024-03-15,2024-03-19,59,3096,user80
106,2023-03-14,2023-03-23,50,6966,user26
107,2023-09-10,2023-09-20,11,3280,user68
108,2024-02-28,2024-03-03,36,3396,user76
109,2023-02-06,2023-02-12,31,4704,user61
110,2023-09-14,2023-09-18,22,1584,user35
111,2023-03-03,2023-03-05,24,1052,user10
112,2024-05-15,2024-05-23,14,6728,user71
113,2023-12-01,2023-12-11,53,3090,user30
114,2024-07-29,2024-08-04,75,4206,user79
115,2023-01-23,2023-01-27,65,1560,user16
116,2024-04-15,2024-04-16,19,986,user70
117,2023-11-04,2023-11-12,49,2800,user96
118,2023-05-31,2023-06-08,64,4208,user4
119,2024-05-12,2024-05-20,52,3872,user45
120,2023-12-25,2024-01-04,21,8820,user10
121,2023-08-24,2023-08-30,60,4860,user38
122,2023-01-03,2023-01-08,69,1560,user10
123,2023-07-05,2023-07-11,86,4878,user70
124,2023-02-14,2023-02-21,65,2730,user32
125,2024-04-14,2024-04-17,94,1257,user59
126,2023-03-11,2023-03-14,35,1143,user6
127,2024-04-15,2024-04-24,26,2772,user65
128,2023-05-27,2023-06-01,9,2985,user94
129,2023-04-10,2023-04-14,100,3720,user81
130,2023-12-03,2023-12-11,61,4504,user58
131,2024-07-19,2024-07-26,6,5460,user12
132,2024-02-05,2024-02-10,16,3470,user94
133,2024-03-17,2024-03-27,13,4020,user61
134,2024-04-21,2024-04-29,57,7704,user56
135,2023-02-27,2023-03-03,41,2584,user78
136,2023-08-05,2023-08-09,1,3480,user12
137,2024-08-14,2024-08-21,40,4074,user32
138,2024-08-03,2024-08-12,26,2772,user95
139,2024-07-18,2024-07-28,93,7220,user92
140,2023-06-09,2023-06-10,34,425,user63
141,2024-05-27,2024-06-06,63,3240,user12
142,2024-07-04,2024-07-09,42,3160,user7
143,2023-10-14,2023-10-21,69,2184,user59
144,2024-05-29,2024-06-07,60,7290,user52
145,2024-01-16,2024-01-25,62,5535,user6
146,2023-09-13,2023-09-19,69,1872,user31
147,2023-08-08,2023-08-09,14,841,user4
148,2023-08-21,2023-08-29,52,3872,user40
149,2023-10-18,2023-10-24,16,4164,user63
150,2023-05-09,2023-05-13,42,2528,user72
151,2023-05-17,2023-05-26,44,7362,user17
152,2023-09-03,2023-09-10,16,4858,user25
153,2023-07-23,2023-07-27,38,2384,user3
154,2024-01-15,2024-01-21,76,5604,user37
155,2023-03-21,2023-03-31,56,6680,user43
156,2024-05-23,2024-05-24,74,875,user32
157,2023-01-19,2023-01-23,37,3896,user77
158,2024-02-19,2024-02-29,63,3240,user81
159,2023-02-26,2023-02-28,12,1974,user44
160,2024-06-18,2024-06-28,77,6770,user42
161,2023-10-22,2023-11-01,76,9340,user99
162,2024-01-20,2024-01-26,14,5046,user89
163,2024-03-03,2024-03-07,47,2856,user83
164,2024-08-16,2024-08-20,78,1932,user96
165,2023-10-27,2023-10-28,65,390,user91
166,2024-05-26,2024-06-02,51,5467,user83
167,2023-08-20,2023-08-27,22,2772,user17
168,2023-02-09,2023-02-12,79,2691,user4
169,2023-08-11,2023-08-13,49,700,user16
170,2023-02-24,2023-03-04,48,3880,user29
171,2023-11-18,2023-11-21,79,2691,user90
172,2024-03-14,2024-03-21,59,5418,user78
173,2023-06-04,2023-06-12,87,5976,user67
174,2023-05-06,2023-05-16,46,7590,user70
175,2023-02-01,2023-02-03,64,1052,user11
176,2024-07-17,2024-07-18,88,349,user82
177,2023-04-28,2023-05-07,95,3249,user28
178,2024-08-15,2024-08-19,55,2032,user99
179,2024-01-09,2024-01-11,62,1230,user53
180,2023-03-06,2023-03-15,90,7047,user20
181,2023-01-08,2023-01-13,45,4755,user64
182,2023-02-23,2023-02-28,43,3750,user22
183,2023-04-20,2023-04-29,30,3456,user58
184,2023-08-14,2023-08-19,15,3820,user66
185,2023-01-29,2023-02-08,27,5190,user33
186,2023-03-26,2023-04-01,85,3936,user13
187,2023-08-31,2023-09-04,87,2988,user31
188,2023-12-11,2023-12-21,68,9040,user60
189,2024-01-11,2024-01-18,28,3696,user95
190,2024-01-03,2024-01-06,77,2031,user13
191,2023-09-23,2023-09-27,52,1936,user33
192,2023-04-11,2023-04-20,87,6723,user49
193,2023-02-23,2023-02-28,25,4540,user23
194,2023-03-31,2023-04-03,5,1653,user34
195,2024-02-08,2024-02-11,38,1788,user82
196,2023-12-31,2024-01-02,32,1370,user11
197,2023-05-12,2023-05-18,55,3048,user95
198,2024-05-24,2024-05-27,57,2889,user26
199,2023-12-02,2023-12-12,26,3080,user39
200,2023-03-10,2023-03-13,8,2814,user78
201,2023-07-19,2023-07-26,100,6510,user73
202,2024-02-28,2024-03-06,50,5418,user15
203,2023-03-30,2023-03-31,85,656,user96
204,2023-04-12,2023-04-15,25,2724,user60
205,2023-02-05,2023-02-06,64,526,user38
206,2023-01-28,2023-01-29,88,349,user89
207,2024-04-13,2024-04-15,83,1064,user53
208,2023-08-24,2023-09-03,77,6770,user35
209,2023-08-13,2023-08-20,57,6741,user75
210,2023-12-31,2024-01-05,93,3610,user16
211,2024-08-20,2024-08-26,50,4644,user94
212,2024-02-16,2024-02-21,72,4520,user1
213,2024-04-14,2024-04-15,12,987,user27
214,2023-10-09,2023-10-13,81,3336,user44
215,2023-08-21,2023-08-23,84,832,user41
216,2024-07-08,2024-07-18,69,3120,user12
217,2024-01-21,2024-01-29,42,5056,user69
218,2024-08-02,2024-08-10,86,6504,user91
219,2024-05-13,2024-05-19,55,3048,user41
220,2024-07-10,2024-07-11,80,381,user81
221,2023-01-29,2023-02-05,72,6328,user93
222,2023-01-01,2023-01-03,62,1230,user28
223,2023-03-15,2023-03-19,39,2060,user38
224,2024-04-27,2024-05-05,24,4208,user92
225,2024-02-03,2024-02-12,72,8136,user11
226,2023-04-07,2023-04-10,60,2430,user97
227,2023-05-24,2023-05-25,65,390,user62
228,2023-09-20,2023-09-22,76,1868,user72
229,2024-06-05,2024-06-11,89,3150,user72
230,2023-12-31,2024-01-05,57,4815,user14
231,2024-06-21,2024-06-30,6,7020,user6
232,2024-02-19,2024-02-26,53,2163,user60
233,2024-06-20,2024-06-28,67,7856,user21
234,2023-06-20,2023-06-22,89,1050,user75
235,2023-10-10,2023-10-20,100,9300,user31
236,2023-06-03,2023-06-11,31,6272,user26
237,2024-01-27,2024-02-05,42,5688,user31
238,2024-07-18,2024-07-21,23,2739,user17
239,2024-06-03,2024-06-12,13,3618,user98
240,2023-09-11,2023-09-20,70,4923,user72
241,2023-07-17,2023-07-23,14,5046,user48
242,2023-09-03,2023-09-12,5,4959,user5
243,2024-05-06,2024-05-13,51,5467,user2
244,2023-05-07,2023-05-10,74,2625,user57
245,2023-10-13,2023-10-16,6,2340,user45
246,2024-06-28,2024-07-08,75,7010,user16
247,2023-07-17,2023-07-26,30,3456,user22
248,2024-07-18,2024-07-25,64,3682,user73
249,2023-04-05,2023-04-12,78,3381,user57
250,2024-02-24,2024-03-05,29,8970,user22
251,2023-10-11,2023-10-14,91,1851,user62
252,2023-12-07,2023-12-12,18,4475,user100
253,2023-04-01,2023-04-09,42,5056,user16
254,2023-10-17,2023-10-18,49,350,user18
255,2023-09-09,2023-09-19,45,9510,user89
256,2023-03-18,2023-03-21,97,2100,user96
257,2023-12-25,2023-12-31,41,3876,user84
258,2024-06-02,2024-06-06,90,3132,user46
259,2024-02-22,2024-02-24,20,1882,user36
260,2024-02-26,2024-03-02,17,1885,user96
261,2023-06-25,2023-06-29,75,2804,user67
262,2024-04-05,2024-04-07,50,1548,user84
263,2023-11-23,2023-12-01,19,7888,user84
264,2023-07-04,2023-07-12,88,2792,user76
265,2024-01-27,2024-02-05,21,7938,user88
266,2023-05-31,2023-06-10,42,6320,user25
267,2024-07-20,2024-07-26,75,4206,user63
268,2024-06-02,2024-06-09,82,5943,user58
269,2023-11-19,2023-11-24,96,3680,user42
270,2023-04-30,2023-05-01,84,416,user54
271,2023-03-10,2023-03-11,78,483,user87
272,2023-04-17,2023-04-24,14,5887,user16
273,2023-01-05,2023-01-08,92,2049,user87
274,2024-03-05,2024-03-15,99,7620,user58
275,2024-03-12,2024-03-16,44,3272,user4
276,2023-01-21,2023-01-27,49,2100,user80
277,2024-05-22,2024-05-26,20,3764,user15
278,2024-07-21,2024-07-31,39,5150,user17
279,2024-07-16,2024-07-25,6,7020,user100
280,2023-11-07,2023-11-14,18,6265,user88
281,2023-07-04,2023-07-07,11,984,user28
282,2024-02-08,2024-02-09,41,646,user14
283,2023-06-17,2023-06-26,52,4356,user46
284,2024-04-04,2024-04-08,13,1608,user33
285,2023-11-23,2023-11-30,47,4998,user38
286,2024-05-29,2024-06-01,85,1968,user75
287,2023-01-01,2023-01-10,44,7362,user89
288,2023-07-31,2023-08-04,90,3132,user60
289,2023-03-30,2023-04-03,25,3632,user14
290,2023-05-03,2023-05-09,39,3090,user62
291,2023-05-12,2023-05-15,99,2286,user17
292,2024-01-09,2024-01-12,91,1851,user96
293,2023-03-01,2023-03-03,62,1230,user73
294,2024-04-14,2024-04-24,53,3090,user18
295,2023-03-04,2023-03-05,73,871,user58
296,2024-05-18,2024-05-27,14,7569,user46
297,2023-06-08,2023-06-10,19,1972,user84
298,2024-01-18,2024-01-22,93,2888,user42
299,2023-06-21,2023-06-29,14,6728,user59
300,2023-11-19,2023-11-29,81,8340,user40
301,2023-12-23,2023-12-26,79,2691,user8
302,2023-04-08,2023-04-10,30,768,user58
303,2023-06-30,2023-07-05,23,4565,user31
304,2024-08-10,2024-08-17,8,6566,user9
305,2024-03-21,2024-03-23,59,1548,user29
306,2023-06-28,2023-07-04,49,2100,user46
307,2023-04-19,2023-04-25,5,3306,user36
308,2023-08-04,2023-08-06,17,754,user34
309,2024-01-07,2024-01-15,55,4064,user60
310,2024-02-25,2024-02-27,11,656,user75
311,2024-02-14,2024-02-19,52,2420,user29
312,2023-01-18,2023-01-25,22,2772,user89
313,2023-09-17,2023-09-21,74,3500,user91
314,2024-06-17,2024-06-24,31,5488,user37
315,2023-03-22,2023-03-23,5,551,user40
316,2024-06-06,2024-06-09,24,1578,user25
317,2023-03-26,2023-03-28,85,1312,user73
318,2023-09-12,2023-09-18,50,4644,user43
319,2023-06-14,2023-06-16,64,1052,user32
320,2024-07-26,2024-07-31,84,2080,user5
321,2024-01-17,2024-01-21,72,3616,user87
322,2023-04-27,2023-05-05,48,3880,user35
323,2024-04-10,2024-04-16,54,5472,user61
324,2024-08-14,2024-08-21,25,6356,user3
325,2024-07-19,2024-07-22,96,2208,user49
326,2024-06-14,2024-06-19,98,3720,user11
327,2024-03-26,2024-04-01,71,4920,user95
328,2024-03-25,2024-03-31,21,5292,user100
329,2023-10-31,2023-11-08,83,4256,user30
330,2023-01-08,2023-01-15,17,2639,user92
331,2023-12-22,2023-12-28,100,5580,user70
332,2024-04-21,2024-04-30,30,3456,user88
333,2024-06-01,2024-06-02,94,419,user30
334,2024-06-16,2024-06-21,81,4170,user59
335,2023-02-04,2023-02-13,47,6426,user1
336,2023-04-11,2023-04-14,14,2523,user48
337,2024-01-28,2024-02-06,21,7938,user31
338,2024-01-10,2024-01-18,48,3880,user16
339,2023-05-24,2023-05-26,23,1826,user9
340,2024-06-22,2024-07-01,57,8667,user21
341,2024-02-18,2024-02-26,74,7000,user100
342,2023-08-30,2023-08-31,31,784,user31
343,2023-01-03,2023-01-10,50,5418,user99
344,2024-02-20,2024-03-01,62,6150,user43
345,2024-01-15,2024-01-20,5,2755,user83
346,2024-07-31,2024-08-09,75,6309,user11
347,2023-08-21,2023-08-27,27,3114,user38
348,2023-08-26,2023-08-31,66,4820,user15
349,2023-09-29,2023-09-30,27,519,user51
350,2023-01-11,2023-01-14,13,1206,user9
351,2023-08-10,2023-08-13,75,2103,user60
352,2024-03-03,2024-03-07,81,3336,user2
353,2024-02-04,2024-02-13,85,5904,user91
354,2024-03-30,2024-04-02,5,1653,user24
355,2024-06-06,2024-06-13,55,3556,user9
356,2023-05-04,2023-05-13,23,8217,user33
357,2023-06-05,2023-06-13,99,6096,user94
358,2024-05-23,2024-05-26,39,1545,user65
359,2023-12-26,2023-12-31,2,1860,user4
360,2023-06-30,2023-07-05,7,3850,user57
361,2023-02-27,2023-03-02,60,2430,user66
362,2023-11-09,2023-11-19,13,4020,user9
363,2024-04-05,2024-04-08,18,2685,user95
364,2024-06-10,2024-06-13,64,1578,user36
365,2024-05-15,2024-05-17,82,1698,user50
366,2023-09-23,2023-10-02,25,8172,user98
367,2024-04-30,2024-05-02,96,1472,user88
368,2023-09-19,2023-09-26,89,3675,user6
369,2023-06-07,2023-06-09,73,1742,user11
370,2024-03-10,2024-03-18,14,6728,user88
371,2024-03-09,2024-03-13,60,3240,user31
372,2024-03-13,2024-03-17,82,3396,user100
373,2024-06-30,2024-07-01,95,361,user7
374,2024-08-13,2024-08-18,83,2660,user66
375,2023-12-12,2023-12-15,89,1575,user31
376,2024-02-15,2024-02-23,99,6096,user41
377,2023-07-28,2023-08-01,67,3928,user83
378,2024-06-13,2024-06-17,80,1524,user72
379,2023-05-22,2023-05-25,70,1641,user37
380,2023-01-07,2023-01-15,41,5168,user10
381,2023-05-29,2023-06-01,37,2922,user18
382,2023-08-05,2023-08-08,72,2712,user24
383,2023-10-18,2023-10-20,54,1824,user96
384,2023-05-25,2023-06-03,73,7839,user45
385,2024-04-03,2024-04-09,54,5472,user70
386,2024-07-22,2024-07-24,87,1494,user47
387,2023-08-23,2023-08-30,10,6678,user39
388,2023-11-24,2023-12-04,33,6290,user48
389,2023-08-31,2023-09-08,17,3016,user44
390,2023-09-12,2023-09-13,99,762,user59
391,2023-07-19,2023-07-20,15,764,user67
392,2023-01-11,2023-01-14,26,924,user90
393,2023-12-08,2023-12-17,1,7830,user13
394,2024-04-26,2024-05-06,100,9300,user40
395,2023-09-03,2023-09-12,40,5238,user34
396,2023-08-28,2023-08-30,10,1908,user23
397,2023-10-05,2023-10-15,23,9130,user47
398,2024-04-14,2024-04-23,51,7029,user94
399,2023-02-26,2023-03-05,96,5152,user3
400,2023-06-08,2023-06-13,6,3900,user29
401,2023-01-09,2023-01-19,28,5280,user56
402,2023-12-27,2024-01-01,37,4870,user29
403,2023-10-10,2023-10-17,36,5943,user47
404,2023-07-28,2023-08-02,32,3425,user81
405,2023-12-01,2023-12-04,13,1206,user77
406,2024-03-31,2024-04-06,47,4284,user93
407,2023-08-21,2023-08-23,54,1824,user2
408,2024-04-24,2024-05-04,88,3490,user46
409,2023-03-12,2023-03-14,7,1540,user98
410,2024-05-01,2024-05-08,28,3696,user91
411,2023-08-10,2023-08-13,99,2286,user63
412,2023-12-18,2023-12-23,69,1560,user47
413,2024-02-04,2024-02-08,65,1560,user75
414,2024-04-30,2024-05-08,61,4504,user81
415,2024-03-03,2024-03-13,28,5280,user84
416,2023-10-31,2023-11-10,29,8970,user92
417,2023-04-06,2023-04-13,59,5418,user36
418,2023-09-17,2023-09-21,100,3720,user55
419,2024-03-11,2024-03-19,87,5976,user1
420,2023-09-26,2023-10-02,47,4284,user73
421,2024-03-23,2024-03-26,80,1143,user54
422,2023-01-19,2023-01-22,95,1083,user89
423,2024-03-07,2024-03-13,12,5922,user30
424,2023-04-21,2023-04-27,44,4908,user76
425,2023-01-20,2023-01-21,79,897,user98
426,2023-04-23,2023-04-27,97,2800,user68
427,2023-03-24,2023-03-28,42,2528,user44
428,2023-12-30,2024-01-05,53,1854,user33
429,2024-02-20,2024-02-27,28,3696,user20
430,2024-08-02,2024-08-10,73,6968,user26
431,2023-09-11,2023-09-20,72,8136,user78
432,2023-02-24,2023-02-26,15,1528,user16
433,2023-07-27,2023-08-02,79,5382,user41
434,2024-03-12,2024-03-16,15,3056,user12
435,2023-09-23,2023-09-27,21,3528,user60
436,2023-02-12,2023-02-20,95,2888,user47
437,2024-04-03,2024-04-10,87,5229,user83
438,2024-07-23,2024-07-31,82,6792,user83
439,2024-08-19,2024-08-20,82,849,user60
440,2023-02-21,2023-02-28,28,3696,user82
441,2023-08-07,2023-08-16,46,6831,user33
442,2024-08-19,2024-08-22,22,1188,user89
443,2023-09-21,2023-09-25,68,3616,user87
444,2023-12-03,2023-12-13,16,6940,user56
445,2024-01-11,2024-01-21,11,3280,user93
446,2023-06-26,2023-07-02,36,5094,user81
447,2023-03-28,2023-04-04,1,6090,user96
448,2023-04-05,2023-04-14,29,8073,user12
449,2023-10-06,2023-10-12,48,2910,user87
450,2024-07-19,2024-07-26,95,2527,user81
451,2024-08-02,2024-08-10,86,6504,user3
452,2023-06-25,2023-06-29,11,1312,user46
453,2023-09-06,2023-09-14,1,6960,user76
454,2023-04-15,2023-04-17,92,1366,user71
455,2024-06-10,2024-06-13,80,1143,user81
456,2023-07-08,2023-07-11,38,1788,user41
457,2023-04-05,2023-04-11,97,4200,user50
458,2023-11-13,2023-11-23,61,5630,user34
459,2024-07-16,2024-07-18,24,1052,user84
460,2023-01-08,2023-01-10,55,1016,user12
461,2024-07-06,2024-07-12,49,2100,user63
462,2024-05-04,2024-05-07,100,2790,user93
463,2023-01-29,2023-02-01,77,2031,user32
464,2023-09-27,2023-10-07,97,7000,user31
465,2023-08-13,2023-08-16,38,1788,user33
466,2023-03-11,2023-03-18,11,2296,user9
467,2024-05-12,2024-05-21,38,5364,user66
468,2023-07-29,2023-08-04,55,3048,user61
469,2024-04-23,2024-05-02,22,3564,user18
470,2023-09-23,2023-10-01,95,2888,user100
471,2023-11-14,2023-11-21,24,3682,user57
472,2024-08-01,2024-08-04,64,1578,user22
473,2023-10-10,2023-10-11,66,964,user67
474,2024-03-11,2024-03-13,2,744,user67
475,2023-11-08,2023-11-12,16,2776,user79
476,2023-06-15,2023-06-21,6,4680,user56
477,2023-01-17,2023-01-22,83,2660,user69
478,2023-07-05,2023-07-06,16,694,user12
479,2023-09-01,2023-09-04,90,2349,user72
480,2024-04-08,2024-04-11,87,2241,user92
481,2023-01-19,2023-01-26,7,5390,user4
482,2023-11-12,2023-11-16,26,1232,user72
483,2024-06-07,2024-06-17,92,6830,user2
484,2023-07-02,2023-07-10,22,3168,user23
485,2023-03-30,2023-04-06,31,5488,user71
486,2023-01-24,2023-01-26,72,1808,user55
487,2023-02-22,2023-03-02,89,4200,user12
488,2024-01-13,2024-01-21,9,4776,user44
489,2023-11-15,2023-11-25,45,9510,user74
490,2024-05-27,2024-05-31,100,3720,user31
491,2023-02-21,2023-02-27,56,4008,user19
492,2023-08-07,2023-08-12,13,2010,user87
493,2024-06-15,2024-06-16,63,324,user25
494,2024-02-01,2024-02-06,96,3680,user12
495,2024-03-15,2024-03-24,65,3510,user9
496,2024-04-11,2024-04-12,23,913,user63
497,2023-08-03,2023-08-05,65,780,user54
498,2024-05-03,2024-05-09,87,4482,user66
499,2023-05-19,2023-05-21,31,1568,user14
500,2024-06-26,2024-07-03,6,5460,user87
